text,label
"집 앞 골목에 차량이 계속 불법 주차되어 보행이 어렵습니다.",illegal_parking
"소방도로에 차가 세워져 있어 긴급 차량 진입이 걱정됩니다.",illegal_parking
"횡단보도 앞에 불법 주차 차량이 있어 시야가 가려집니다.",illegal_parking
"상가 앞 도로에 장시간 주차된 차량 때문에 차가 지나가기 어렵습니다.",illegal_parking
"버스정류장 앞에 차량이 불법 주차되어 승하차가 불편합니다.",illegal_parking
"골목에 무단투기된 쓰레기가 며칠째 치워지지 않고 있습니다.",waste_cleaning
"음식물 쓰레기가 수거되지 않아 악취가 심하게 납니다.",waste_cleaning
"쓰레기봉투가 찢어진 채 방치되어 주변이 지저분합니다.",waste_cleaning
"공원 입구에 생활 쓰레기가 쌓여 있어 이용하기 불편합니다.",waste_cleaning
"주택가 주변에 버려진 폐가구가 오래 방치되어 있습니다.",waste_cleaning
"밤마다 공사장에서 큰 소음이 나서 잠을 자기 어렵습니다.",noise
"새벽 시간에 오토바이 소리가 너무 커서 생활에 불편이 있습니다.",noise
"근처 가게에서 밤늦게까지 음악 소리가 크게 들립니다.",noise
"아파트 위층에서 계속 뛰는 소리가 나서 조용히 지내기 어렵습니다.",noise
"주말마다 확성기 소음이 반복되어 불편합니다.",noise
"도로에 큰 구멍이 생겨 차량이 지나갈 때 위험합니다.",road_damage
"인도 보도블록이 깨져 있어 보행자가 넘어질 위험이 있습니다.",road_damage
"차도에 균열이 심해 비가 오면 물이 고입니다.",road_damage
"자전거도로 일부가 파손되어 이용하기 위험합니다.",road_damage
"도로 가장자리가 내려앉아 차량 통행이 불안합니다.",road_damage
"집 앞 가로등이 고장 나서 밤길이 너무 어둡습니다.",streetlight
"골목길 가로등이 며칠째 켜지지 않아 불안합니다.",streetlight
"공원 주변 조명이 어두워 야간 이용이 어렵습니다.",streetlight
"횡단보도 근처 가로등이 꺼져 있어 보행자가 잘 보이지 않습니다.",streetlight
"버스정류장 주변 조명이 부족해 밤에 기다리기 불편합니다.",streetlight
"비가 오면 하수구가 막혀 도로에 물이 넘칩니다.",sewer_drainage
"골목 배수구에서 악취가 올라와 생활이 불편합니다.",sewer_drainage
"하수구 뚜껑 주변으로 물이 역류하고 있습니다.",sewer_drainage
"비가 조금만 와도 집 앞 도로가 침수됩니다.",sewer_drainage
"배수로에 낙엽과 쓰레기가 쌓여 물이 잘 빠지지 않습니다.",sewer_drainage
"횡단보도 옆에 불법 현수막이 걸려 시야를 가립니다.",illegal_advertisement
"전봇대에 붙은 불법 광고지가 너무 많아 지저분합니다.",illegal_advertisement
"도로변 현수막이 보행자 통행을 방해하고 있습니다.",illegal_advertisement
"상가 주변에 허가되지 않은 입간판이 인도를 막고 있습니다.",illegal_advertisement
"버스정류장 주변에 불법 전단지가 많이 붙어 있습니다.",illegal_advertisement
"어느 부서에 문의해야 할지 모르겠습니다.",etc
"민원을 넣고 싶은데 어떤 항목으로 접수해야 하는지 잘 모르겠습니다.",etc
"생활에 불편한 문제가 있는데 담당 부서를 찾기 어렵습니다.",etc
"이 문제가 교통 관련인지 시설 관련인지 판단이 어렵습니다.",etc
"정확한 민원 유형을 모르겠어서 안내를 받고 싶습니다.",etc
