text,category
"집 앞 도로에 차가 계속 불법 주차되어 통행이 어렵습니다.",교통
"골목에 쓰레기가 며칠째 방치되어 악취가 심합니다.",환경
"가로등이 고장 나서 밤길이 너무 어둡습니다.",안전
"어느 부서에 문의해야 할지 모르겠습니다.",기타
"집 앞 이면도로에 불법주차된 차들 때문에 차가 지나갈 수가 없습니다. 단속 좀 해주세요.","교통"
"소화전 앞에 외제차가 주차되어 있는데 빨리 견인해 가야 하는 거 아닌가요?","교통"
"어린이 보호구역에 매일 불법주정차하는 차량이 있습니다. 강력하게 단속 바랍니다.","교통"
"골목길 한가운데 차를 대놓고 연락처도 없네요. 당장 견인 조치 부탁드립니다.","교통"
"주차 금지 구역인데도 주말만 되면 얌체 차량들이 빼곡하게 주차되어 통행이 어렵습니다.","교통"
"버스 정류장 바로 앞에 택시들이 줄지어 불법 정차하고 있어서 버스 타기가 너무 위험해요.","교통"
"사거리 코너에 주차한 대형 트럭 때문에 우회전 시야가 가려서 사고 날 뻔했습니다.","교통"
"거주자 우선 주차 구역에 무단으로 주차한 외부 차량 좀 철저하게 단속해 주세요.","교통"
"장애인 전용 주차구역에 일반 차량이 버젓이 주차되어 있습니다. 과태료 부과해 주십시오.","교통"
"좁은 길에 양방향으로 불법 주차를 해놔서 소방차는커녕 일반 승용차 교행도 전혀 안 됩니다.","교통"
"횡단보도 위에 차를 세워둬서 보행자들이 쌩쌩 달리는 도로로 돌아가고 있습니다. 빨리 조치해 주세요.","교통"
"상가 앞 인도에 반쯤 걸쳐서 주차하는 차량들 때문에 휠체어나 유모차 지나가기가 너무 힘듭니다.","교통"
"야간만 되면 대형 화물차들이 차선을 하나 다 차지하고 밤샘 주차를 하는데 조치가 필요합니다.","교통"
"주차 단속 카메라가 있는데도 다들 트렁크를 열어놓고 꼼수로 주차하는 걸 보니 화가 납니다.","교통"
"견인 지역이라고 써붙여만 놓지 말고 상습 위반 구역이니 실제로 견인을 좀 해가세요.","교통"
"출근길에 커다란 포트홀을 밟아서 타이어가 찢어졌습니다. 차량 수리비 보상해 주실 건가요?","교통"
"국도 3호선 진입로 쪽에 도로가 움푹 파여 있어서 속도를 내다가는 큰 사고로 이어질 것 같습니다.","교통"
"비가 오니까 도로에 생긴 포트홀에 물이 고여서 잘 안 보입니다. 조속히 아스팔트를 메워주세요.","교통"
"도로 노면이 다 깨져서 지나갈 때마다 차가 심하게 덜컹거리고 하부 긁히는 소음이 심해요.","교통"
"터널 빠져나오자마자 있는 포트홀 때문에 급정거하는 차들이 많아 2차 추돌 사고 위험이 높습니다.","교통"
"도로 한가운데 싱크홀처럼 깊게 파인 곳이 있어요. 당장 주변을 통제하고 복구 공사를 해야 할 것 같습니다.","교통"
"아스팔트 포장 상태가 너무 불량해서 야간 운전 시 핸들이 꺾일까 봐 무섭습니다.","교통"
"포트홀 땜질해 놓은 곳이 며칠 안 가서 또 파였습니다. 눈가림식 말고 제대로 된 보수 공사를 요구합니다.","교통"
"마을 버스 다니는 길인데 노면이 밀려서 울퉁불퉁합니다. 안전을 위해 평탄화 작업 부탁드려요.","교통"
"교차로 한가운데 도로가 심하게 패여 있어서 오토바이 운전자들은 넘어질까 봐 생명에 위협을 느낍니다.","교통"
"맨홀 주변 아스팔트가 푹 주저앉아서 지나갈 때마다 덜커덩거리는 충격이 그대로 전해집니다.","교통"
"도로 파임 현상이 1차선 쪽에 길게 이어져 있어서 차들이 자꾸 차선을 이탈하게 됩니다. 조속한 처리 바랍니다.","교통"
"가로수 뿌리 때문에 보도블록이 위로 심하게 솟아올라 있어서 밤에 걷다가 걸려 넘어졌습니다.","교통"
"비 오는 날 헐거운 보도블록을 무심코 밟았다가 밑에 고여있던 흙탕물이 튀어서 바지를 다 버렸네요.","교통"
"자전거 도로 쪽 인도 블록이 다 깨져서 조각들이 흩어져 있습니다. 타이어 펑크 나기 전에 정비 좀 해주세요.","교통"
"인도에 보도블록 공사를 하다 만 것처럼 바닥이 파헤쳐져 있어서 통행하기가 무척 불편합니다.","교통"
"상가 앞 인도가 푹 꺼져 있어서 스마트폰 보며 걷다가는 발목을 삐끗하기 십상이에요.","교통"
"시각장애인용 점자블록이 파손되고 떨어져 나간 채로 방치되어 있습니다. 너무 위험한 거 아닙니까?","교통"
